Заголовок бага,Описание,Шаги воспроизведения,Фактический результат,Ожидаемый результат,Серьёзность,Приоритет,Статус,Test Cases
Регистрация пользователя,Не приходит письмо подтверждения регистрации при регистрации нового пользователя,1) Зарегистрироваться новому пользователю 2) Проверить почтовый ящик,Письмо подтверждения регистрации не приходит на почту,Письмо подтверждения регистрации поступило на почту,Critical,High,In progress,
Неверный логин,Происходит успешная авторизация при вводе неверного логина,Ввести в форму авторизации неверный логин,Происходит успешный вход,Появляется сообщение о неверных веденных данных,Critical,High,In progress,
Удаление заявки покупателем,"Покупатель нажимает на кнопку ""удалить заявку"" но она не удаляется","1) Создать заявку покупателем 2) Нажать на кнопку ""удалить заявку""",Заявка остается в списке заявок,Заявка удалена ,High,Medium,In progress,
Отправка сообщения покупателем продавцу,Сообщение от покупателя не приходит продавцу,"1) Покупатель авторизован 2) Покупатель заполняет форму сообщения продавцу и нажимает кнопку ""отправить""",Сообщение не приходит продавцу,Продавец получает отправленное покупателем сообщение,Critical,High,In progress,
Оценка продавца,Рейтинг продавца остается неизменным после выставления оценки покупателем,1) Покупатель завершает диалог с продавцом 2) Выставляет оценку продавцу,Рейтинг продавца остается неизменным,Рейтинг продавца изменяется,High,Medium,In progress,
Поиск товаров,При поиске товаров определенной категории и подкатегории показываются товары других категорий,"1) Зайти в раздел ""поиск товаров"" 2) Выбрать существующую категорию товаров 3) Выбрать подкатегорию 4) Нажать ""найти""",Показываются товары других категорий,Показываются товары выбранной категории и подкатегории,Critical,High,In progress,
CSRF-защита,Сервер возвращает 200 OK при отправке POST-запроса без CSRF-токена,"1) Авторизоваться в системе под любой ролью (например, покупатель).
2) Открыть консоль разработчика (F12) и найти CSRF-токен в meta-теге страницы.
3) Сформировать и отправить POST-запрос на изменение данных (например, создание заявки) без передачи CSRF-токена в заголовках или теле запроса.
4) Проверить ответ сервера.","Сервер принимает и обрабатывает запрос, возвращая статус 200 OK. Данные успешно изменены/созданы.","Сервер должен вернуть ошибку 403 Forbidden, запрос не должен быть обработан.",Critical,High,In progress,
Заголовки безопасности,Отсутствует обязательный заголовок безопасности Content-Security-Policy,"1) Открыть любую страницу приложения (главную, /login, /dashboard).
2) Открыть консоль разработчика, перейти на вкладку ""Сеть"" (Network).
3) Выбрать основной запрос к странице и посмотреть ""Заголовки ответа"" (Response Headers).
4) Проверить наличие Content-Security-Policy.",Заголовки X-Content-Type-Options: nosniff и X-Frame-Options: SAMEORIGIN присутствуют. Заголовок Content-Security-Policy отсутствует.,Заголовок Content-Security-Policy (или Content-Security-Policy-Report-Only) должен присутствовать в ответе для предотвращения XSS-атак.,High,Medium,In progress,
Доступ к страницам без регистрации,Неавторизованный пользователь получает доступ к странице /dashboard (без редиректа),"1) Очистить куки и хранилище браузера (или открыть окно в режиме инкогнито).
2) Убедиться, что выход из системы выполнен (статус ""Пользователь не авторизован"").
3) Ввести в адресной строке URL защищённой страницы, например: https://site.com/dashboard.
4) Нажать Enter.","Открывается содержимое страницы /dashboard (или пустая страница с шаблоном дашборда, HTTP-код 200). В адресной строке остаётся .../dashboard.",Сервер возвращает HTTP-редирект (302) на страницу /login.,Critical,High,In progress,
Доступ к API без JWT,API возвращает 200 OK и данные профиля при запросе без JWT-токена,"1) Не авторизовываться в системе (не получать JWT).
2) Отправить GET/POST запрос к защищённому эндпоинту /api/protected/profile без заголовка Authorization или с пустым значением.
3) Проверить тело и статус ответа.",Статус ответа 200 OK. В теле ответа возвращаются данные профиля.,Сервер возвращает статус 401 Unauthorized.,Critical,High,,
,,,,,,,,
